,array,dataset,target_idx,interf_idx,sir,snr,bf,sar_out,sir_in,snr_in,sir_out,snr_out,pesq_in,pesq_out
0,0.0,0.0,0.0,2.0,0.0,0.0,dpDS,-0.9163264543581391,-4.821637332766436e-16,-0.005081382740260101,0.5615988990481644,0.692164834803547,1.8528474569320679,1.833283543586731
1,0.0,0.0,0.0,2.0,0.0,0.0,rtfMVDR,5.3183039459903325,-4.821637332766436e-16,-0.005081382740260101,-0.4269406961874338,15.243098665764768,1.8528474569320679,2.195026159286499
2,0.0,0.0,0.0,2.0,0.0,0.0,ecoMVDR,-6.605962410202961,-4.821637332766436e-16,-0.005081382740260101,-2.679214217883868,21.71705682522792,1.8528474569320679,2.166961193084717
3,0.0,0.0,0.0,2.0,0.0,0.0,rtfLCMV,6.5248437115872555,-4.821637332766436e-16,-0.005081382740260101,4.969487994054088,9.49754773690303,1.8528474569320679,2.0277605056762695
4,0.0,0.0,0.0,2.0,0.0,0.0,ecoLCMV,-7.7664595400937655,-4.821637332766436e-16,-0.005081382740260101,-1.8885444874715962,21.51934947151868,1.8528474569320679,2.0300450325012207
5,0.0,0.0,0.0,2.0,0.0,10.0,dpDS,-0.9163264543581391,-4.821637332766436e-16,9.994869849879391,0.5615988990481644,10.722165302592346,2.1438751220703125,2.147634744644165
6,0.0,0.0,0.0,2.0,0.0,10.0,rtfMVDR,5.478039947254928,-4.821637332766436e-16,9.994869849879391,-0.4277885592603958,24.673166631475638,2.1438751220703125,2.289121627807617
7,0.0,0.0,0.0,2.0,0.0,10.0,ecoMVDR,-7.096495530317989,-4.821637332766436e-16,9.994869849879391,-3.1110026733672096,32.207524880928034,2.1438751220703125,2.282383680343628
8,0.0,0.0,0.0,2.0,0.0,10.0,rtfLCMV,6.03162614414689,-4.821637332766436e-16,9.994869849879391,5.778518611592616,20.731064984867672,2.1438751220703125,2.3023440837860107
9,0.0,0.0,0.0,2.0,0.0,10.0,ecoLCMV,-7.834156306669115,-4.821637332766436e-16,9.994869849879391,-1.846283002654868,31.576625030875146,2.1438751220703125,2.1882572174072266
10,0.0,0.0,0.0,2.0,0.0,20.0,dpDS,-0.9163264543581391,-4.821637332766436e-16,20.0086272742813,0.5615988990481644,20.72649995286415,2.2998340129852295,2.286703109741211
11,0.0,0.0,0.0,2.0,0.0,20.0,rtfMVDR,5.5394895546672975,-4.821637332766436e-16,20.0086272742813,-0.4631177900184853,33.1320854198943,2.2998340129852295,2.3637144565582275
12,0.0,0.0,0.0,2.0,0.0,20.0,ecoMVDR,-5.474795401404147,-4.821637332766436e-16,20.0086272742813,-2.0692905587138406,40.643870075019315,2.2998340129852295,2.374537229537964
13,0.0,0.0,0.0,2.0,0.0,20.0,rtfLCMV,6.003023588830119,-4.821637332766436e-16,20.0086272742813,6.37933099710766,30.49161543363585,2.2998340129852295,2.4312055110931396
14,0.0,0.0,0.0,2.0,0.0,20.0,ecoLCMV,-7.273138113472568,-4.821637332766436e-16,20.0086272742813,-1.8972845224609958,41.05314681607421,2.2998340129852295,2.2295210361480713
15,0.0,0.0,0.0,2.0,10.0,0.0,dpDS,-0.9163264543581391,9.999999999999998,-0.00424389573929007,10.561598899048166,0.7325970910874808,1.915598750114441,1.8717533349990845
16,0.0,0.0,0.0,2.0,10.0,0.0,rtfMVDR,5.192535439959796,9.999999999999998,-0.00424389573929007,9.68045081480226,15.469010783990695,1.915598750114441,2.3452939987182617
17,0.0,0.0,0.0,2.0,10.0,0.0,ecoMVDR,-6.898267465385116,9.999999999999998,-0.00424389573929007,7.033935157251242,22.02731643577649,1.915598750114441,2.3483331203460693
18,0.0,0.0,0.0,2.0,10.0,0.0,rtfLCMV,5.877663045286372,9.999999999999998,-0.00424389573929007,10.7147920586634,10.834709955836725,1.915598750114441,2.1769518852233887
19,0.0,0.0,0.0,2.0,10.0,0.0,ecoLCMV,-7.779246752015427,9.999999999999998,-0.00424389573929007,8.188848306452048,21.545908387866696,1.915598750114441,2.1749770641326904
20,0.0,0.0,0.0,2.0,10.0,10.0,dpDS,-0.9163264543581391,9.999999999999998,9.996144986059061,10.561598899048166,10.720155050071117,2.333662271499634,2.310279130935669
21,0.0,0.0,0.0,2.0,10.0,10.0,rtfMVDR,5.56053313662728,9.999999999999998,9.996144986059061,9.505276717454379,24.425933173997286,2.333662271499634,2.536229133605957
22,0.0,0.0,0.0,2.0,10.0,10.0,ecoMVDR,-7.000474416155702,9.999999999999998,9.996144986059061,6.9311158015114085,32.11459222942477,2.333662271499634,2.5524351596832275
23,0.0,0.0,0.0,2.0,10.0,10.0,rtfLCMV,5.84572489680413,9.999999999999998,9.996144986059061,13.51400014872744,19.907110035113593,2.333662271499634,2.5123393535614014
24,0.0,0.0,0.0,2.0,10.0,10.0,ecoLCMV,-7.834042234268547,9.999999999999998,9.996144986059061,8.175888748370475,31.612596058802964,2.333662271499634,2.38420033454895
25,0.0,0.0,0.0,2.0,10.0,20.0,dpDS,-0.9163264543581391,9.999999999999998,19.990060591549806,10.561598899048166,20.693776826414965,2.6456663608551025,2.613300085067749
26,0.0,0.0,0.0,2.0,10.0,20.0,rtfMVDR,5.561226479681549,9.999999999999998,19.990060591549806,9.520683631424431,34.07676070714455,2.6456663608551025,2.7189152240753174
27,0.0,0.0,0.0,2.0,10.0,20.0,ecoMVDR,-6.599613627636111,9.999999999999998,19.990060591549806,7.227527488756641,41.77158423905432,2.6456663608551025,2.6709084510803223
