,array,dataset,target_idx,interf_idx,sir,snr,bf,sar_out,sir_in,snr_in,sdr_in,sir_out,snr_out,sdr_out,pesq_in,pesq_out
0,0.0,0.0,0.0,2.0,0.0,0.0,dpDS,8.447090403574716,4.4319225331418135,0.020010914638667124,-1.309566615413937,4.706376467916082,0.7179369613542761,-0.7304567833360693,1.8373916149139404,1.857574462890625
1,0.0,0.0,0.0,2.0,0.0,0.0,rtfMVDR,4.9830146361314975,4.4319225331418135,0.020010914638667124,-1.309566615413937,4.393832026879024,16.13750853688989,4.112663165695803,1.8373916149139404,2.2015252113342285
2,0.0,0.0,0.0,2.0,0.0,0.0,ecoMVDR,-6.867363310043862,4.4319225331418135,0.020010914638667124,-1.309566615413937,2.1085593025976364,21.31692865400947,2.0570104856624916,1.8373916149139404,2.1506102085113525
3,0.0,0.0,0.0,2.0,0.0,0.0,rtfLCMV,3.854738393915249,4.4319225331418135,0.020010914638667124,-1.309566615413937,8.69820166442897,11.041988661906137,6.714061110661834,1.8373916149139404,2.0487701892852783
4,0.0,0.0,0.0,2.0,0.0,0.0,ecoLCMV,-6.571614585633478,4.4319225331418135,0.020010914638667124,-1.309566615413937,1.522481999787787,21.62069724199371,1.4814010010815604,1.8373916149139404,2.0337135791778564
5,0.0,0.0,0.0,2.0,0.0,10.0,dpDS,8.447090403574716,4.4319225331418135,10.007101422114754,3.3507932959721614,4.706376467916082,10.703812612330058,3.70911434728914,2.1576781272888184,2.152963399887085
6,0.0,0.0,0.0,2.0,0.0,10.0,rtfMVDR,5.18377221891181,4.4319225331418135,10.007101422114754,3.3507932959721614,4.204617996863908,25.41784755082776,4.172060767794453,2.1576781272888184,2.3042287826538086
7,0.0,0.0,0.0,2.0,0.0,10.0,ecoMVDR,-6.07685071957866,4.4319225331418135,10.007101422114754,3.3507932959721614,2.3282358386624113,30.686893869688777,2.3220699706928065,2.1576781272888184,2.148420810699463
8,0.0,0.0,0.0,2.0,0.0,10.0,rtfLCMV,4.814863445556355,4.4319225331418135,10.007101422114754,3.3507932959721614,10.162766825965775,21.258401430079847,9.83767880204192,2.1576781272888184,2.3425381183624268
9,0.0,0.0,0.0,2.0,0.0,10.0,ecoLCMV,-6.391170009152488,4.4319225331418135,10.007101422114754,3.3507932959721614,1.4821755972045314,31.38542925416101,1.4780950754789302,2.1576781272888184,2.184741973876953
10,0.0,0.0,0.0,2.0,0.0,20.0,dpDS,8.447090403574716,4.4319225331418135,20.01675254983035,4.30752684395808,4.706376467916082,20.68274148308585,4.58877888206913,2.3016855716705322,2.284266471862793
11,0.0,0.0,0.0,2.0,0.0,20.0,rtfMVDR,5.1249670005532995,4.4319225331418135,20.01675254983035,4.30752684395808,4.3420679111443,33.539849510693664,4.33687662973618,2.3016855716705322,2.359802722930908
12,0.0,0.0,0.0,2.0,0.0,20.0,ecoMVDR,-7.718971151387851,4.4319225331418135,20.01675254983035,4.30752684395808,1.330230313291475,42.177342199351614,1.3298635309398599,2.3016855716705322,2.304621934890747
13,0.0,0.0,0.0,2.0,0.0,20.0,rtfLCMV,4.962744230178163,4.4319225331418135,20.01675254983035,4.30752684395808,9.533648784627369,30.50554856312745,9.498063056370775,2.3016855716705322,2.4504504203796387
14,0.0,0.0,0.0,2.0,0.0,20.0,ecoLCMV,-6.556823033905265,4.4319225331418135,20.01675254983035,4.30752684395808,1.4712912380939724,41.49908075831953,1.47082700559112,2.3016855716705322,2.230674982070923
15,0.0,0.0,0.0,2.0,10.0,0.0,dpDS,8.447090403574716,14.431922533141815,0.01771952469270587,-0.14112180708599895,14.706376467916083,0.7506724202791695,0.5619414989890701,1.9341570138931274,1.905274510383606
16,0.0,0.0,0.0,2.0,10.0,0.0,rtfMVDR,5.039351718532146,14.431922533141815,0.01771952469270587,-0.14112180708599895,14.08400957110288,15.390585516072283,11.679966111892753,1.9341570138931274,2.377471923828125
17,0.0,0.0,0.0,2.0,10.0,0.0,ecoMVDR,-7.526158173771,14.431922533141815,0.01771952469270587,-0.14112180708599895,11.481571587365869,22.02420884854088,11.11475690320663,1.9341570138931274,2.349804162979126
18,0.0,0.0,0.0,2.0,10.0,0.0,rtfLCMV,4.23476719314966,14.431922533141815,0.01771952469270587,-0.14112180708599895,15.269659042351698,11.167994435948458,9.742149878660172,1.9341570138931274,2.2408928871154785
19,0.0,0.0,0.0,2.0,10.0,0.0,ecoLCMV,-6.607975769028621,14.431922533141815,0.01771952469270587,-0.14112180708599895,11.463405829645499,21.65897820950638,11.065998187106842,1.9341570138931274,2.19232177734375
20,0.0,0.0,0.0,2.0,10.0,10.0,dpDS,8.447090403574716,14.431922533141815,10.018944910169562,8.682064909418218,14.706376467916083,10.698383669414298,9.252287279122498,2.331268310546875,2.337916612625122
21,0.0,0.0,0.0,2.0,10.0,10.0,rtfMVDR,5.200340603613116,14.431922533141815,10.018944910169562,8.682064909418218,14.33561776157421,24.441016293331955,13.93031612479382,2.331268310546875,2.5463929176330566
22,0.0,0.0,0.0,2.0,10.0,10.0,ecoMVDR,-7.502619006051954,14.431922533141815,10.018944910169562,8.682064909418218,11.477624623236103,32.06152778120777,11.43978330525199,2.331268310546875,2.5156502723693848
23,0.0,0.0,0.0,2.0,10.0,10.0,rtfLCMV,5.063547532345693,14.431922533141815,10.018944910169562,8.682064909418218,16.69268914033082,20.614462678085864,15.215949801385058,2.331268310546875,2.4881794452667236
24,0.0,0.0,0.0,2.0,10.0,10.0,ecoLCMV,-6.570901860191968,14.431922533141815,10.018944910169562,8.682064909418218,11.448845172548284,31.56676720832437,11.407220587997804,2.331268310546875,2.3830196857452393
25,0.0,0.0,0.0,2.0,10.0,20.0,dpDS,8.447090403574716,14.431922533141815,19.99081132587195,13.374143774297684,14.706376467916083,20.689756036684575,13.751008685544605,2.633784294128418,2.6021769046783447
26,0.0,0.0,0.0,2.0,10.0,20.0,rtfMVDR,5.17472468350276,14.431922533141815,19.99081132587195,13.374143774297684,14.36999901034477,33.345326891266474,14.315398644385642,2.633784294128418,2.6844260692596436
27,0.0,0.0,0.0,2.0,10.0,20.0,ecoMVDR,-7.424711422187597,14.431922533141815,19.99081132587195,13.374143774297684,11.620123331911802,41.79990812797637,11.615881040659804,2.633784294128418,2.676466703414917
28,0.0,0.0,0.0,2.0,10.0,20.0,rtfLCMV,5.015253752660104,14.431922533141815,19.99081132587195,13.374143774297684,19.09179816583044,30.052310329030835,18.749815608348896,2.633784294128418,2.82014799118042
29,0.0,0.0,0.0,2.0,10.0,20.0,ecoLCMV,-6.571076897339295,14.431922533141815,19.99081132587195,13.374143774297684,11.576250721831336,41.52130799240463,11.572111561099511,2.633784294128418,2.5052099227905273
30,0.0,0.0,0.0,2.0,20.0,0.0,dpDS,8.447090403574716,24.431922533141815,0.0016127755004967047,-0.011201514860831645,24.706376467916083,0.7459846177976164,0.7311632809974383,1.8929411172866821,1.893366813659668
31,0.0,0.0,0.0,2.0,20.0,0.0,rtfMVDR,5.04810082336932,24.431922533141815,0.0016127755004967047,-0.011201514860831645,24.504214353724763,14.262887560499955,13.869070529331376,1.8929411172866821,2.3809053897857666
