,array,dataset,target_idx,interf_idx,sir,snr,bf,sar_out,sir_in,snr_in,sir_out,snr_out,pesq_in,pesq_out
0,0.0,0.0,0.0,2.0,0.0,0.0,dpDS,-0.9163264543581391,-4.821637332766436e-16,0.00026442702430921975,0.5615988990481644,0.719897169017996,1.8240265846252441,1.8452075719833374
1,0.0,0.0,0.0,2.0,0.0,0.0,rtfMVDR,5.356080741619039,-4.821637332766436e-16,0.00026442702430921975,-0.38042737253824727,15.269116034020108,1.8240265846252441,2.2023212909698486
2,0.0,0.0,0.0,2.0,0.0,0.0,ecoMVDR,-7.466213338369794,-4.821637332766436e-16,0.00026442702430921975,-3.066511569583643,22.601052402578915,1.8240265846252441,2.109905481338501
3,0.0,0.0,0.0,2.0,0.0,0.0,rtfLCMV,6.466535899690859,-4.821637332766436e-16,0.00026442702430921975,5.210389284413113,9.906325104024619,1.8240265846252441,2.0830867290496826
4,0.0,0.0,0.0,2.0,0.0,0.0,ecoLCMV,-7.71873314795042,-4.821637332766436e-16,0.00026442702430921975,-1.8396531203721134,21.47116414754624,1.8240265846252441,2.0435538291931152
5,0.0,0.0,0.0,2.0,0.0,10.0,dpDS,-0.9163264543581391,-4.821637332766436e-16,9.986851134312891,0.5615988990481644,10.720854723207484,2.159799098968506,2.17667293548584
6,0.0,0.0,0.0,2.0,0.0,10.0,rtfMVDR,5.532157078552007,-4.821637332766436e-16,9.986851134312891,-0.4938135415432154,24.839521165254492,2.159799098968506,2.2930805683135986
7,0.0,0.0,0.0,2.0,0.0,10.0,ecoMVDR,-7.199222853120658,-4.821637332766436e-16,9.986851134312891,-3.128969562842829,32.35955008138021,2.159799098968506,2.250136375427246
8,0.0,0.0,0.0,2.0,0.0,10.0,rtfLCMV,5.948945944948631,-4.821637332766436e-16,9.986851134312891,5.374658295703208,20.875931659033597,2.159799098968506,2.2767324447631836
9,0.0,0.0,0.0,2.0,0.0,10.0,ecoLCMV,-7.8168332957976725,-4.821637332766436e-16,9.986851134312891,-1.8128320796697037,31.599916595773262,2.159799098968506,2.194768190383911
10,0.0,0.0,0.0,2.0,0.0,20.0,dpDS,-0.9163264543581391,-4.821637332766436e-16,19.989597781300933,0.5615988990481644,20.679573259717785,2.297004222869873,2.295498847961426
11,0.0,0.0,0.0,2.0,0.0,20.0,rtfMVDR,5.5395987876499,-4.821637332766436e-16,19.989597781300933,-0.4903980206503982,33.83523298680626,2.297004222869873,2.369143009185791
12,0.0,0.0,0.0,2.0,0.0,20.0,ecoMVDR,-7.185789325067413,-4.821637332766436e-16,19.989597781300933,-2.726358510590509,42.29509032429732,2.297004222869873,2.2561440467834473
13,0.0,0.0,0.0,2.0,0.0,20.0,rtfLCMV,5.987242844236274,-4.821637332766436e-16,19.989597781300933,6.722998970125439,30.994255063107794,2.297004222869873,2.4760520458221436
14,0.0,0.0,0.0,2.0,0.0,20.0,ecoLCMV,-7.736805996782923,-4.821637332766436e-16,19.989597781300933,-1.820200138955603,41.46669877120256,2.297004222869873,2.2343971729278564
15,0.0,0.0,0.0,2.0,10.0,0.0,dpDS,-0.9163264543581391,9.999999999999998,0.019622677498860007,10.561598899048166,0.6991840065167669,1.8992908000946045,1.8776953220367432
16,0.0,0.0,0.0,2.0,10.0,0.0,rtfMVDR,5.462829619674734,9.999999999999998,0.019622677498860007,9.473689639983503,15.592654054220736,1.8992908000946045,2.369931221008301
17,0.0,0.0,0.0,2.0,10.0,0.0,ecoMVDR,-6.612865457891928,9.999999999999998,0.019622677498860007,7.19846588224801,21.727766482876923,1.8992908000946045,2.3631184101104736
18,0.0,0.0,0.0,2.0,10.0,0.0,rtfLCMV,5.42652657094137,9.999999999999998,0.019622677498860007,10.464755786088451,11.8878923113876,1.8992908000946045,2.3272976875305176
19,0.0,0.0,0.0,2.0,10.0,0.0,ecoLCMV,-7.825578121667016,9.999999999999998,0.019622677498860007,8.192164280656552,21.579668483138693,1.8992908000946045,2.1923208236694336
20,0.0,0.0,0.0,2.0,10.0,10.0,dpDS,-0.9163264543581391,9.999999999999998,10.024985966445437,10.561598899048166,10.744079312558538,2.344303607940674,2.335256814956665
21,0.0,0.0,0.0,2.0,10.0,10.0,rtfMVDR,5.590723120497852,9.999999999999998,10.024985966445437,9.519395433025382,24.726311762765242,2.344303607940674,2.5879640579223633
22,0.0,0.0,0.0,2.0,10.0,10.0,ecoMVDR,-5.022990882986997,9.999999999999998,10.024985966445437,8.267825903857386,30.144803895918017,2.344303607940674,2.52858567237854
23,0.0,0.0,0.0,2.0,10.0,10.0,rtfLCMV,5.667375335061773,9.999999999999998,10.024985966445437,13.35388320371106,20.648586070304443,2.344303607940674,2.4918808937072754
24,0.0,0.0,0.0,2.0,10.0,10.0,ecoLCMV,-7.382530310169121,9.999999999999998,10.024985966445437,8.186107391326283,31.144163617816144,2.344303607940674,2.390512704849243
25,0.0,0.0,0.0,2.0,10.0,20.0,dpDS,-0.9163264543581391,9.999999999999998,19.98737327866161,10.561598899048166,20.706013299158332,2.6478116512298584,2.6161797046661377
26,0.0,0.0,0.0,2.0,10.0,20.0,rtfMVDR,5.5643072264852815,9.999999999999998,19.98737327866161,9.512383543896801,33.73006429398976,2.6478116512298584,2.707874298095703
27,0.0,0.0,0.0,2.0,10.0,20.0,ecoMVDR,-6.326659002911824,9.999999999999998,19.98737327866161,7.647726560637315,41.44470428625944,2.6478116512298584,2.654986619949341
