,signal,room_code,src_id,mic_id,path_hdf5,delay
132,rir,000000,5,8,/rir/000000/5,4444
133,rir,000000,5,9,/rir/000000/5,4444
134,rir,000000,5,10,/rir/000000/5,4444
135,rir,000000,5,11,/rir/000000/5,4444
136,rir,000000,5,12,/rir/000000/5,4444
137,rir,000000,5,13,/rir/000000/5,4444
138,rir,000000,5,14,/rir/000000/5,4444
139,rir,000000,5,15,/rir/000000/5,4444
140,rir,000000,5,16,/rir/000000/5,4444
141,rir,000000,5,17,/rir/000000/5,4444
142,rir,000000,5,18,/rir/000000/5,4444
143,rir,000000,5,19,/rir/000000/5,4444
144,rir,000000,5,20,/rir/000000/5,4444
145,rir,000000,5,21,/rir/000000/5,4444
146,rir,000000,5,22,/rir/000000/5,4444
147,rir,000000,5,23,/rir/000000/5,4444
148,rir,000000,5,24,/rir/000000/5,4444
149,rir,000000,5,25,/rir/000000/5,4444
150,rir,000000,5,26,/rir/000000/5,4444
151,rir,000000,5,27,/rir/000000/5,4444
152,rir,000000,5,28,/rir/000000/5,4444
153,rir,000000,5,29,/rir/000000/5,4444
154,rir,000000,5,30,/rir/000000/5,4444
155,rir,000000,6,0,/rir/000000/6,79445
156,rir,000000,6,1,/rir/000000/6,79445
157,rir,000000,6,2,/rir/000000/6,79445
158,rir,000000,6,3,/rir/000000/6,79445
159,rir,000000,6,4,/rir/000000/6,79445
160,rir,000000,6,5,/rir/000000/6,79445
161,rir,000000,6,6,/rir/000000/6,79445
162,rir,000000,6,7,/rir/000000/6,79445
163,rir,000000,6,8,/rir/000000/6,79445
164,rir,000000,6,9,/rir/000000/6,79445
165,rir,000000,6,10,/rir/000000/6,79445
166,rir,000000,6,11,/rir/000000/6,79445
167,rir,000000,6,12,/rir/000000/6,79445
168,rir,000000,6,13,/rir/000000/6,79445
169,rir,000000,6,14,/rir/000000/6,79445
170,rir,000000,6,15,/rir/000000/6,79445
171,rir,000000,6,16,/rir/000000/6,79445
172,rir,000000,6,17,/rir/000000/6,79445
173,rir,000000,6,18,/rir/000000/6,79445
174,rir,000000,6,19,/rir/000000/6,79445
175,rir,000000,6,20,/rir/000000/6,79445
176,rir,000000,6,21,/rir/000000/6,79445
177,rir,000000,6,22,/rir/000000/6,79445
178,rir,000000,6,23,/rir/000000/6,79445
179,rir,000000,6,24,/rir/000000/6,79445
180,rir,000000,6,25,/rir/000000/6,79445
181,rir,000000,6,26,/rir/000000/6,79445
182,rir,000000,6,27,/rir/000000/6,79445
183,rir,000000,6,28,/rir/000000/6,79445
184,rir,000000,6,29,/rir/000000/6,79445
185,rir,000000,6,30,/rir/000000/6,79445
186,rir,000000,7,0,/rir/000000/7,4444
187,rir,000000,7,1,/rir/000000/7,4444
188,rir,000000,7,2,/rir/000000/7,4444
189,rir,000000,7,3,/rir/000000/7,4444
190,rir,000000,7,4,/rir/000000/7,4444
191,rir,000000,7,5,/rir/000000/7,4444
192,rir,000000,7,6,/rir/000000/7,4444
193,rir,000000,7,7,/rir/000000/7,4444
194,rir,000000,7,8,/rir/000000/7,4444
195,rir,000000,7,9,/rir/000000/7,4444
196,rir,000000,7,10,/rir/000000/7,4444
197,rir,000000,7,11,/rir/000000/7,4444
198,rir,000000,7,12,/rir/000000/7,4444
199,rir,000000,7,13,/rir/000000/7,4444
200,rir,000000,7,14,/rir/000000/7,4444
201,rir,000000,7,15,/rir/000000/7,4444
202,rir,000000,7,16,/rir/000000/7,4444
203,rir,000000,7,17,/rir/000000/7,4444
204,rir,000000,7,18,/rir/000000/7,4444
205,rir,000000,7,19,/rir/000000/7,4444
206,rir,000000,7,20,/rir/000000/7,4444
207,rir,000000,7,21,/rir/000000/7,4444
208,rir,000000,7,22,/rir/000000/7,4444
209,rir,000000,7,23,/rir/000000/7,4444
210,rir,000000,7,24,/rir/000000/7,4444
211,rir,000000,7,25,/rir/000000/7,4444
212,rir,000000,7,26,/rir/000000/7,4444
213,rir,000000,7,27,/rir/000000/7,4444
214,rir,000000,7,28,/rir/000000/7,4444
215,rir,000000,7,29,/rir/000000/7,4444
216,rir,000000,7,30,/rir/000000/7,4444
217,rir,000000,8,0,/rir/000000/8,4444
218,rir,000000,8,1,/rir/000000/8,4444
219,rir,000000,8,2,/rir/000000/8,4444
220,rir,000000,8,3,/rir/000000/8,4444
221,rir,000000,8,4,/rir/000000/8,4444
222,rir,000000,8,5,/rir/000000/8,4444
223,rir,000000,8,6,/rir/000000/8,4444
224,rir,000000,8,7,/rir/000000/8,4444
225,rir,000000,8,8,/rir/000000/8,4444
226,rir,000000,8,9,/rir/000000/8,4444
227,rir,000000,8,10,/rir/000000/8,4444
228,rir,000000,8,11,/rir/000000/8,4444
229,rir,000000,8,12,/rir/000000/8,4444
230,rir,000000,8,13,/rir/000000/8,4444
231,rir,000000,8,14,/rir/000000/8,4444
232,rir,000000,8,15,/rir/000000/8,4444
233,rir,000000,8,16,/rir/000000/8,4444
234,rir,000000,8,17,/rir/000000/8,4444
235,rir,000000,8,18,/rir/000000/8,4444
236,rir,000000,8,19,/rir/000000/8,4444
237,rir,000000,8,20,/rir/000000/8,4444
238,rir,000000,8,21,/rir/000000/8,4444
239,rir,000000,8,22,/rir/000000/8,4444
240,rir,000000,8,23,/rir/000000/8,4444
241,rir,000000,8,24,/rir/000000/8,4444
242,rir,000000,8,25,/rir/000000/8,4444
243,rir,000000,8,26,/rir/000000/8,4444
244,rir,000000,8,27,/rir/000000/8,4444
245,rir,000000,8,28,/rir/000000/8,4444
246,rir,000000,8,29,/rir/000000/8,4444
247,rir,000000,8,30,/rir/000000/8,4444
248,rir,000000,9,0,/rir/000000/9,4444
249,rir,000000,9,1,/rir/000000/9,4444
250,rir,000000,9,2,/rir/000000/9,4444
251,rir,000000,9,3,/rir/000000/9,4444
252,rir,000000,9,4,/rir/000000/9,4444
253,rir,000000,9,5,/rir/000000/9,4444
254,rir,000000,9,6,/rir/000000/9,4444
255,rir,000000,9,7,/rir/000000/9,4444
256,rir,000000,9,8,/rir/000000/9,4444
257,rir,000000,9,9,/rir/000000/9,4444
258,rir,000000,9,10,/rir/000000/9,4444
259,rir,000000,9,11,/rir/000000/9,4444
260,rir,000000,9,12,/rir/000000/9,4444
261,rir,000000,9,13,/rir/000000/9,4444
262,rir,000000,9,14,/rir/000000/9,4444
263,rir,000000,9,15,/rir/000000/9,4444
264,rir,000000,9,16,/rir/000000/9,4444
265,rir,000000,9,17,/rir/000000/9,4444
266,rir,000000,9,18,/rir/000000/9,4444
267,rir,000000,9,19,/rir/000000/9,4444
268,rir,000000,9,20,/rir/000000/9,4444
269,rir,000000,9,21,/rir/000000/9,4444
270,rir,000000,9,22,/rir/000000/9,4444
271,rir,000000,9,23,/rir/000000/9,4444
272,rir,000000,9,24,/rir/000000/9,4444
273,rir,000000,9,25,/rir/000000/9,4444
274,rir,000000,9,26,/rir/000000/9,4444
275,rir,000000,9,27,/rir/000000/9,4444
276,rir,000000,9,28,/rir/000000/9,4444
277,rir,000000,9,29,/rir/000000/9,4444
278,rir,000000,9,30,/rir/000000/9,4444
279,rir,010000,1,0,/rir/010000/1,63564
280,rir,010000,1,1,/rir/010000/1,63564
281,rir,010000,1,2,/rir/010000/1,63564
282,rir,010000,1,3,/rir/010000/1,63564
283,rir,010000,1,4,/rir/010000/1,63564
284,rir,010000,1,5,/rir/010000/1,63564
285,rir,010000,1,6,/rir/010000/1,63564
286,rir,010000,1,7,/rir/010000/1,63564
287,rir,010000,1,8,/rir/010000/1,63564
288,rir,010000,1,9,/rir/010000/1,63564
289,rir,010000,1,10,/rir/010000/1,63564
290,rir,010000,1,11,/rir/010000/1,63564
291,rir,010000,1,12,/rir/010000/1,63564
292,rir,010000,1,13,/rir/010000/1,63564
293,rir,010000,1,14,/rir/010000/1,63564
294,rir,010000,1,15,/rir/010000/1,63564
295,rir,010000,1,16,/rir/010000/1,63564
296,rir,010000,1,17,/rir/010000/1,63564
297,rir,010000,1,18,/rir/010000/1,63564
298,rir,010000,1,19,/rir/010000/1,63564
299,rir,010000,1,20,/rir/010000/1,63564
300,rir,010000,1,21,/rir/010000/1,63564
301,rir,010000,1,22,/rir/010000/1,63564
302,rir,010000,1,23,/rir/010000/1,63564
303,rir,010000,1,24,/rir/010000/1,63564
304,rir,010000,1,25,/rir/010000/1,63564
305,rir,010000,1,26,/rir/010000/1,63564
306,rir,010000,1,27,/rir/010000/1,63564
307,rir,010000,1,28,/rir/010000/1,63564
308,rir,010000,1,29,/rir/010000/1,63564
309,rir,010000,1,30,/rir/010000/1,63564
310,rir,010000,2,0,/rir/010000/2,82275
