,filename,src_id,src_ch,src_signal,room_code,room_rfl_floor,room_rfl_ceiling,room_rfl_west,room_rfl_south,room_rfl_east,room_rfl_north,room_fornitures,room_temperature,rec_silence_dB,rec_artifacts,mic_type,array_bar_x,array_bar_y,array_bar_z,mic_id,mic_ch,mic_pos_x,mic_pos_y,mic_pos_z,mic_signal,src_pos_x,src_pos_y,src_pos_z
70,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.775,2.129,0.98,9.0,41.0,0.76388435,2.09845999,0.98,babble,,,
71,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.775,2.129,0.98,10.0,42.0,0.72968233,2.00449073,0.98,babble,,,
72,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,2.291,1.669,1.163,11.0,43.0,2.18273871,1.7263214,1.163,babble,,,
73,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,2.291,1.669,1.163,12.0,44.0,2.21808934,1.70760421,1.163,babble,,,
74,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,2.291,1.669,1.163,13.0,45.0,2.26227762,1.68420772,1.163,babble,,,
75,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,2.291,1.669,1.163,14.0,46.0,2.31972238,1.65379228,1.163,babble,,,
76,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,2.291,1.669,1.163,15.0,47.0,2.40809895,1.6069993,1.163,babble,,,
77,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.408,2.461,1.31,16.0,48.0,3.34254184,2.35745543,1.31,babble,,,
78,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.408,2.461,1.31,17.0,49.0,3.36391593,2.3912659,1.31,babble,,,
79,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.408,2.461,1.31,18.0,50.0,3.39063355,2.43352899,1.31,babble,,,
80,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.408,2.461,1.31,19.0,51.0,3.42536645,2.48847101,1.31,babble,,,
81,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.408,2.461,1.31,20.0,52.0,3.47880169,2.57299719,1.31,babble,,,
82,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.687,3.876,0.91,21.0,53.0,3.77147839,3.96471105,0.91,babble,,,
